SandstoneWaterDriveReservoir,SandStoneSolutionGasDrive,CarbonateWaterDriveReservoir,CarbonateSolutionGasDrive,rrf_column
API,API,API,API,API
BoJ,Bo,Boa,Boa,Boa
Boa,Boa,Bob,Bob,Bob
Bob,Bob,Bol,Bol,Bol
Bp,Bol,Kuw/U,Bp,Bp
K,K,OOIcalc,K,K
OOIP,OO/Pcsic,OoIP,OO/Pcsic,OOIP
OOIPCALC,OOIP,Pb,OOIP,PI
PI,PI,Pep,PI,POROSITY
POROSITY,POROSITY,Pi,POROSITY,Pb/Pa
PVPa,Pb/Pa,Pi/Pa,Pb/Pa,Pep
Pep,Pep,Porosity,Pep,REC
REC,REC,REC,REC,Rsa
Rsa,Rsa,Rsa,Rsa,Rsb
Rsb,Rsb,Rsb,Rsb,Rsi
Rsi,Rsi,Rsl,Rsi,Sw
SORT(k/POR),Sw,SQRT,Sw,T
Sw,T,Sw,T,Type
T,Ubp,T,Ubp,Ubp
Ubp,Uoa,UbP,Uoa,Uoa
Uoa,Uoi,Uoa,Uoi,Uoi
Uoi,Uw,Uol,Uw,Uw
Uw,h,Uw,h,h
h,k/uob,h,k/uob,k/uob
kUwi/Uoi,Null,k,Null,Null
